data,detalhes,tipo,5_dia_util,transacoes_negocio
2015-01-01,Congelamento do ambiente; Feriado; Ano Novo; Processo de Migração/Incorporação; Aumento de transações CDO e ATM;,Feriado,,407.793
2015-01-02,Congelamento do ambiente; 1º dia útil; Pagamento de benefícios INSS; Arrecadação de Convênios;,Congelamento,,3.709.156
2015-01-03,Congelamento do ambiente; Utilização de Caixa Eletrônico; ,Congelamento,,876.498
2015-01-04,Congelamento do ambiente; Utilização de Caixa Eletrônico; ,Congelamento,,520.752
2015-01-05,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,5.757.740
2015-01-06,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,4.567.595
2015-01-07,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.844.305
2015-01-08,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,1,4.414.432
2015-01-09,Arrecadação de Convênios; Arrecadação de GPS;,Normal,,4.411.565
2015-01-10,Utilização de Caixa Eletrônico;,Normal,,972.885
2015-01-11,Utilização de Caixa Eletrônico;,Normal,,470.270
2015-01-12,Movimento Segunda-Feira; Arrecadação de Convênios; Previsão de grande movimento;,Alto Risco,,5.350.129
2015-01-13,Dia Produção Sisbr; Movimento Batch – Compe Inferior;,Normal,,4.194.303
2015-01-14,,Normal,,3.973.826
2015-01-15,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001;,Normal,,4.390.918
2015-01-16,Movimento Batch – Empréstimo 0001;,Normal,,3.929.841
2015-01-17,Utilização de Caixa Eletrônico;,Normal,,855.455
2015-01-18,Utilização de Caixa Eletrônico;,Normal,,412.171
2015-01-19,Movimento Segunda-Feira; Arrecadação do Convênio IPVA;,Alto Risco,,4.708.053
2015-01-20,Dia Produção Sisbr; Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Arrecadação do Convênio IPVA; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,4.544.363
2015-01-21,Arrecadação do Convênio IPVA;,Normal,,3.931.821
2015-01-22,Dia Produção Sisbr; Arrecadação do Convênio IPVA;,Normal,,3.628.417
2015-01-23,Arrecadação do Convênio IPVA;,Normal,,3.708.935
2015-01-24,Utilização de Caixa Eletrônico;,Normal,,830.241
2015-01-25,Utilização de Caixa Eletrônico;,Normal,,427.702
2015-01-26,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Alto Risco,,4.525.117
2015-01-27,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Atenção,,3.719.814
2015-01-28,Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Normal,,3.572.476
2015-01-29,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA; ,Atenção,,3.551.085
2015-01-30,Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Arrecadação do Convênio IPVA;,Atenção,,4.264.809
2015-01-31,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação;,Atenção,,843.460
2015-02-01,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação;,Atenção,,518.184
2015-02-02,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,5.049.252
2015-02-03,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,4.234.247
2015-02-04,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,3.967.776
2015-02-05,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.313.088
2015-02-06,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,1,5.004.366
2015-02-07,Utilização de Caixa Eletrônico;,Normal,,1.063.799
2015-02-08,Utilização de Caixa Eletrônico;,Normal,,512.738
2015-02-09,Movimento Segunda-Feira; Arrecadação de Convênios;,Alto Risco,,5.388.339
2015-02-10,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Arrecadação de Convênios; Arrecadação de GPS;,Atenção,,5.108.412
2015-02-11,,Normal,,4.279.712
2015-02-12,Dia Produção Sisbr;,Normal,,4.103.580
2015-02-13,Congelamento do ambiente; Aumento de transações CDO e ATM; Dia de grande movimento; Antecede feriado prolongado;,Congelamento,,4.420.792
2015-02-14,Congelamento do ambiente; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Congelamento,,813.014
2015-02-15,Congelamento do ambiente; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Congelamento,,327.496
2015-02-16,Congelamento do ambiente; Aumento de transações CDO e ATM; ,Congelamento,,902.704
2015-02-17,Congelamento do ambiente; Feriado; Carnaval; Aumento de transações CDO e ATM;,Feriado,,547.829
2015-02-18,Movimento Batch – Empréstimo 0001;,Normal,,4.922.017
2015-02-19,Dia Produção Sisbr;,Normal,,4.401.825
2015-02-20,Congelamento do ambiente; Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial;,Congelamento,,5.059.143
2015-02-21,Congelamento do ambiente; Utilização de Caixa Eletrônico;,Congelamento,,969.454
2015-02-22,Congelamento do ambiente; Utilização de Caixa Eletrônico;,Congelamento,,462.410
2015-02-23,Congelamento do ambiente; Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação do Convênio IPVA;,Congelamento,,4.842.138
2015-02-24,Congelamento do ambiente; Pagamento de benefícios INSS; Arrecadação do Convênio IPVA;,Congelamento,,3.950.920
2015-02-25,Congelamento do ambiente; Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Congelamento,,4.073.513
2015-02-26,Congelamento do ambiente; Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Congelamento,,3.814.511
2015-02-27,Congelamento do ambiente; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Arrecadação do Convênio IPVA;,Congelamento,,4.448.983
2015-02-28,Congelamento do ambiente; Utilização de Caixa Eletrônico; Processo de Migração/Incorporação; ,Congelamento,,988.523
2015-03-01,Congelamento do ambiente; Utilização de Caixa Eletrônico; Processo de Migração/Incorporação;,Congelamento,,549.890
2015-03-02,Congelamento do ambiente; Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Congelamento,,5.665.533
2015-03-03,Congelamento do ambiente; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios; ,Congelamento,,4.566.868
2015-03-04,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.263.849
2015-03-05,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.625.560
2015-03-06,Pagamento de benefícios INSS; Arrecadação de Convênios; ,Normal,1,5.379.256
2015-03-07,Utilização de Caixa Eletrônico; ,Normal,,1.151.625
2015-03-08,Utilização de Caixa Eletrônico; ,Normal,,548.712
2015-03-09,Movimento Segunda-Feira; Arrecadação de Convênios;,Alto Risco,,5.436.133
2015-03-10,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Arrecadação de Convênios; Arrecadação de GPS;,Atenção,,5.308.370
2015-03-11,,Normal,,4.364.952
2015-03-12,Dia Produção Sisbr;,Normal,,4.081.674
2015-03-13,,Normal,,4.224.893
2015-03-14,Utilização de Caixa Eletrônico;,Normal,,953.503
2015-03-15,Utilização de Caixa Eletrônico;,Normal,,457.820
2015-03-16,Movimento Segunda-Feira; Movimento Batch – Empréstimo 0001;,Alto Risco,,5.218.520
2015-03-17,Dia Produção Sisbr;,Normal,,3.990.785
2015-03-18,,Normal,,3.860.713
2015-03-19,Dia Produção Sisbr;,Normal,,3.748.800
2015-03-20,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,4.785.005
2015-03-21,Utilização de Caixa Eletrônico;,Normal,,955.833
2015-03-22,Utilização de Caixa Eletrônico;,Normal,,406.606
2015-03-23,Movimento Segunda-Feira; Arrecadação do Convênio IPVA;,Alto Risco,,4.611.955
2015-03-24,Dia Produção Sisbr; Arrecadação do Convênio IPVA;,Normal,,3.895.971
2015-03-25,Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Normal,,4.019.715
2015-03-26,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação do Convênio IPVA;,Atenção,,3.718.620
