data,totalTrsc
01/01/2019,5513121
02/01/2019,38607810
03/01/2019,34557822
04/01/2019,34150797
05/01/2019,9674930
06/01/2019,6014411
07/01/2019,45862072
08/01/2019,37478620
09/01/2019,34706050
10/01/2019,37972697
11/01/2019,34498858
12/01/2019,8674492
13/01/2019,5308160
14/01/2019,39019868
15/01/2019,36700048
16/01/2019,32132031
17/01/2019,30830974
18/01/2019,33109602
19/01/2019,8496648
20/01/2019,5636087
21/01/2019,41006384
22/01/2019,32441662
23/01/2019,30377807
24/01/2019,28904256
25/01/2019,30966772
26/01/2019,8150044
27/01/2019,5344111
28/01/2019,34926040
29/01/2019,30785897
30/01/2019,33079931
31/01/2019,33427203
01/02/2019,34656942
02/02/2019,9208621
03/02/2019,6077762
04/02/2019,40863113
05/02/2019,38733183
06/02/2019,38757390
07/02/2019,38785374
08/02/2019,36548815
09/02/2019,9642516
10/02/2019,6471702
11/02/2019,46265457
12/02/2019,35711644
13/02/2019,32739469
14/02/2019,31900334
15/02/2019,36301466
16/02/2019,8871492
17/02/2019,5845576
18/02/2019,39394041
19/02/2019,34834572
20/02/2019,38601755
21/02/2019,32158619
22/02/2019,32182524
23/02/2019,8883753
24/02/2019,5857270
25/02/2019,39513048
26/02/2019,32454251
27/02/2019,32517609
28/02/2019,37822546
01/03/2019,40851167
02/03/2019,9719861
03/03/2019,5423942
04/03/2019,11927064
05/03/2019,8262618
06/03/2019,45740500
07/03/2019,46065145
08/03/2019,42473149
09/03/2019,10835098
10/03/2019,7181621
11/03/2019,51959223
12/03/2019,39202869
13/03/2019,35339674
14/03/2019,33474740
15/03/2019,38222425
16/03/2019,9234418
17/03/2019,5991645
18/03/2019,39820164
19/03/2019,34076029
20/03/2019,41193734
21/03/2019,32802494
22/03/2019,32984896
23/03/2019,8950924
24/03/2019,5860129
25/03/2019,39525183
26/03/2019,33082873
27/03/2019,31668880
28/03/2019,31886761
29/03/2019,35605398
30/03/2019,9670142
31/03/2019,6440839
01/04/2019,43567624
02/04/2019,36180670
03/04/2019,35468226
04/04/2019,35744387
05/04/2019,45937928
06/04/2019,10866758
07/04/2019,6941923
08/04/2019,44691969
09/04/2019,37597736
10/04/2019,41896073
11/04/2019,36763013
12/04/2019,35788941
13/04/2019,9659847
14/04/2019,6465175
15/04/2019,45652912
16/04/2019,36506534
17/04/2019,35428005
18/04/2019,36469048
19/04/2019,7566112
20/04/2019,8677788
21/04/2019,6303911
22/04/2019,48803964
23/04/2019,37186697
24/04/2019,35334508
25/04/2019,36032716
26/04/2019,35271175
27/04/2019,9945376
28/04/2019,6700938
29/04/2019,40803158
30/04/2019,42799029
01/05/2019,10719892
02/05/2019,44420112
03/05/2019,42540360
04/05/2019,11530706
05/05/2019,7627925
06/05/2019,50385531
07/05/2019,46230781
08/05/2019,42964799
09/05/2019,39669156
10/05/2019,46062123
11/05/2019,11522550
12/05/2019,6832822
13/05/2019,45988179
14/05/2019,39546662
15/05/2019,42486151
16/05/2019,36587356
17/05/2019,36779502
18/05/2019,10461574
19/05/2019,6819558
20/05/2019,49935311
21/05/2019,37610729
22/05/2019,35046168
23/05/2019,31978178
24/05/2019,32143190
25/05/2019,9222695
26/05/2019,6152611
27/05/2019,39722078
28/05/2019,34039342
29/05/2019,32244712
30/05/2019,34049752
31/05/2019,37687976
01/06/2019,10526350
02/06/2019,6915575
03/06/2019,46834239
04/06/2019,40212491
05/06/2019,41220649
06/06/2019,41662402
07/06/2019,43932518
08/06/2019,10702951
09/06/2019,7436044
