data;total
2016-01-31;303836828
2016-02-29;305828523
2016-03-31;345481507
2016-04-30;335871285
2016-05-31;356812410
2016-06-30;362284391
2016-07-31;370647365
2016-08-31;403314945
2016-09-30;399100689
2016-10-31;412038317
2016-11-30;423564644
2016-12-31;455920964
2017-01-31;466109462
2017-02-28;417806211
2017-03-31;545264800
2017-04-30;531220310
2017-05-31;616039992
2017-06-30;612760240
2017-07-31;677296241
2017-08-31;710661248
2017-09-30;675008569
2017-10-31;733071699
2017-11-30;693254696
2017-12-31;776838295
2018-01-31;829565489
2018-02-28;635291958
2018-03-31;664857615
2018-04-30;676157239
2018-05-31;723450000
2018-06-30;736915657
2018-07-31;756441833
2018-08-31;833319778
2018-09-30;735864912
2018-10-31;754437257
2018-11-30;753085525
2018-12-31;766755122
2019-01-31;828355205
2019-02-28;791600844
2019-03-31;825473605
2019-04-30;897052141
2019-05-31;959008481
2019-06-30;848482786
2019-07-31;984075401
