data,total_transacoes
01/06/2014,914608
02/06/2014,11256628
03/06/2014,9321025
04/06/2014,8933395
05/06/2014,10031023
06/06/2014,11350673
07/06/2014,1813088
08/06/2014,924436
09/06/2014,12572627
10/06/2014,11274298
11/06/2014,9303635
12/06/2014,6653140
13/06/2014,8465192
14/06/2014,1593758
15/06/2014,870611
16/06/2014,11854743
17/06/2014,7260777
18/06/2014,9232306
19/06/2014,1311980
20/06/2014,10755742
21/06/2014,1602130
22/06/2014,847485
23/06/2014,8930797
24/06/2014,8569647
25/06/2014,9678288
26/06/2014,8541979
27/06/2014,8895660
28/06/2014,1353239
29/06/2014,873214
30/06/2014,11992292
01/07/2014,9958132
02/07/2014,9373877
03/07/2014,9196142
04/07/2014,8320594
05/07/2014,1924182
06/07/2014,1022976
07/07/2014,13638665
08/07/2014,8082623
09/07/2014,8688873
10/07/2014,11165046
11/07/2014,9664393
12/07/2014,1636661
13/07/2014,849752
14/07/2014,11086721
15/07/2014,10405218
16/07/2014,8798597
17/07/2014,8608179
18/07/2014,9116769
19/07/2014,1587218
20/07/2014,869405
21/07/2014,11501454
22/07/2014,8736902
23/07/2014,7978265
24/07/2014,7806747
25/07/2014,8609345
26/07/2014,1483305
27/07/2014,902143
28/07/2014,10127854
29/07/2014,7987405
30/07/2014,8822755
31/07/2014,9016958
01/08/2014,9404947
02/08/2014,1707208
03/08/2014,932280
04/08/2014,11607246
05/08/2014,10700232
06/08/2014,9902389
07/08/2014,10537575
08/08/2014,10150991
09/08/2014,1777954
10/08/2014,929320
11/08/2014,13307783
12/08/2014,9778598
13/08/2014,8835501
14/08/2014,8949489
15/08/2014,8945204
16/08/2014,1565884
17/08/2014,890489
18/08/2014,11233360
19/08/2014,9104799
20/08/2014,10520454
21/08/2014,8653384
22/08/2014,8556455
23/08/2014,1526547
24/08/2014,845746
25/08/2014,11018865
26/08/2014,8645955
27/08/2014,8337890
28/08/2014,8388136
29/08/2014,9659010
30/08/2014,1701610
31/08/2014,944749
01/09/2014,12217710
02/09/2014,9808502
03/09/2014,9532721
04/09/2014,9508066
05/09/2014,11964830
06/09/2014,1921896
07/09/2014,1027243
08/09/2014,12563480
09/09/2014,10224148
10/09/2014,11324403
11/09/2014,9553219
12/09/2014,9439198
13/09/2014,1618900
14/09/2014,970821
15/09/2014,12500950
16/09/2014,9407865
17/09/2014,8893371
18/09/2014,8627891
19/09/2014,9543812
20/09/2014,1673419
21/09/2014,888541
22/09/2014,11707341
23/09/2014,8879988
24/09/2014,8536099
25/09/2014,9233161
26/09/2014,8806877
27/09/2014,1576388
28/09/2014,880502
29/09/2014,10879813
30/09/2014,10659550
01/10/2014,10409748
02/10/2014,9666271
03/10/2014,10479198
04/10/2014,1929326
05/10/2014,985349
06/10/2014,13476729
07/10/2014,11825267
08/10/2014,10360790
09/10/2014,9857285
10/10/2014,11742765
11/10/2014,1760635
12/10/2014,916314
13/10/2014,12042057
14/10/2014,9763195
15/10/2014,10705868
16/10/2014,9040033
17/10/2014,11053728
18/10/2014,1666416
19/10/2014,891124
20/10/2014,12799488
21/10/2014,9323977
22/10/2014,9052761
23/10/2014,8541555
24/10/2014,8751510
25/10/2014,1527636
26/10/2014,845144
27/10/2014,10994444
28/10/2014,8855256
29/10/2014,8578912
30/10/2014,9088118
31/10/2014,9406781
01/11/2014,1868607
02/11/2014,1004636
03/11/2014,12803980
04/11/2014,10269002
05/11/2014,11080119
06/11/2014,11844711
07/11/2014,11775032
08/11/2014,1925926
09/11/2014,1048658
