data;totalAcumulado;totalMes
30/06/2014;206145846;19889932
31/07/2014;226035778;7538996
31/08/2014;218496782;15873923
30/09/2014;234370705;11966924
31/10/2014;246337629;18169208
30/11/2014;228168421;16161434
31/12/2014;244329855;11574117
31/01/2015;232755738;20241095
28/02/2015;212514643;40465194
31/03/2015;252979837;7352164
30/04/2015;245627673;4696897
31/05/2015;250324570;10986075
30/06/2015;261310645;20492994
31/07/2015;281803639;1329098
31/08/2015;283132737;2264192
30/09/2015;280868545;21742006
31/10/2015;302610551;8942589
30/11/2015;293667962;22361246
31/12/2015;316029208;12192380
31/01/2016;303836828;1991695
29/02/2016;305828523;39652984
31/03/2016;345481507;9610222
30/04/2016;335871285;20941125
31/05/2016;356812410;5471981
30/06/2016;362284391;8362974
31/07/2016;370647365;32667580
31/08/2016;403314945;4214256
30/09/2016;399100689;12937628
31/10/2016;412038317;11526327
30/11/2016;423564644;32356320
31/12/2016;455920964;10188498
31/01/2017;466109462;48303251
28/02/2017;417806211;127458589
31/03/2017;545264800;14044490
30/04/2017;531220310;84819682
31/05/2017;616039992;3279752
30/06/2017;612760240;64536001
31/07/2017;677296241;33365007
31/08/2017;710661248;35652679
30/09/2017;675008569;58063130
31/10/2017;733071699;39817003
30/11/2017;693254696;83583599
31/12/2017;776838295;52727194
31/01/2018;829565489;194273531
28/02/2018;635291958;29565657
31/03/2018;664857615;11299624
30/04/2018;676157239;47292761
31/05/2018;723450000;13465657
30/06/2018;736915657;19526176
31/07/2018;756441833;76877945
31/08/2018;833319778;97454866
30/09/2018;735864912;18572345
31/10/2018;754437257;1351732
30/11/2018;753085525;13669597
31/12/2018;766755122;61600083
31/01/2019;828355205;36754361
28/02/2019;791600844;33872761
31/03/2019;825473605;71578536
30/04/2019;897052141;61956340
31/05/2019;959008481;110525695
30/06/2019;848482786;135592615
31/07/2019;984075401;984075401
