data;trscNegocio
01/01/2016;626097
02/01/2016;1044122
03/01/2016;815159
04/01/2016;7621417
05/01/2016;6733883
06/01/2016;6022390
07/01/2016;6358450
08/01/2016;6138214
09/01/2016;1508445
10/01/2016;776591
11/01/2016;7989132
12/01/2016;6058523
13/01/2016;5720504
14/01/2016;5421265
15/01/2016;6163340
16/01/2016;1299958
17/01/2016;674525
18/01/2016;6588501
19/01/2016;5667314
20/01/2016;5976494
21/01/2016;5343036
22/01/2016;5182414
23/01/2016;1266481
24/01/2016;641029
25/01/2016;6235083
26/01/2016;5351875
27/01/2016;5113730
28/01/2016;4982030
29/01/2016;5757998
30/01/2016;1424708
31/01/2016;757703
01/02/2016;7017729
02/02/2016;5949855
03/02/2016;5778037
04/02/2016;5847157
05/02/2016;7949987
06/02/2016;1533485
07/02/2016;567002
08/02/2016;1488832
09/02/2016;976111
10/02/2016;7981240
11/02/2016;6858942
12/02/2016;6358441
13/02/2016;1490660
14/02/2016;666436
15/02/2016;7619185
16/02/2016;6001209
17/02/2016;5545200
18/02/2016;5383806
19/02/2016;6045619
20/02/2016;1520171
21/02/2016;401749
22/02/2016;7061153
23/02/2016;5506761
24/02/2016;5285835
25/02/2016;5499527
26/02/2016;5561327
27/02/2016;1440622
28/02/2016;778686
29/02/2016;7287893
01/03/2016;6641859
02/03/2016;6180421
03/03/2016;6062600
04/03/2016;6792923
05/03/2016;1763097
06/03/2016;797243
07/03/2016;8225916
08/03/2016;6237515
09/03/2016;5884068
10/03/2016;6656444
11/03/2016;5942245
12/03/2016;915684
13/03/2016;558201
14/03/2016;6827216
15/03/2016;6664226
16/03/2016;5736911
17/03/2016;5425882
18/03/2016;6097821
19/03/2016;1425201
20/03/2016;790606
21/03/2016;7650902
22/03/2016;5861874
23/03/2016;5703947
24/03/2016;5294970
25/03/2016;858650
26/03/2016;1091864
27/03/2016;662303
28/03/2016;7055853
29/03/2016;5669180
30/03/2016;5807243
31/03/2016;6242557
01/04/2016;6695582
02/04/2016;1578178
03/04/2016;843790
04/04/2016;7457785
05/04/2016;7208468
06/04/2016;7050209
07/04/2016;7037883
08/04/2016;6468245
09/04/2016;1674662
10/04/2016;882390
11/04/2016;8396883
12/04/2016;6402755
13/04/2016;5852853
14/04/2016;5656171
15/04/2016;6554605
16/04/2016;1459237
17/04/2016;713267
18/04/2016;6901605
19/04/2016;6059109
20/04/2016;7151124
21/04/2016;1263012
22/04/2016;5516599
23/04/2016;1361004
24/04/2016;793022
25/04/2016;7541376
26/04/2016;5843034
27/04/2016;5589468
28/04/2016;5495561
29/04/2016;6571185
30/04/2016;1650777
01/05/2016;917291
02/05/2016;7892111
03/05/2016;6756932
04/05/2016;6364385
05/05/2016;6981289
06/05/2016;7677739
07/05/2016;1832683
08/05/2016;849652
09/05/2016;7885855
10/05/2016;7696427
11/05/2016;6417731
12/05/2016;5947296
13/05/2016;6102738
14/05/2016;1568434
15/05/2016;839950
16/05/2016;8159136
17/05/2016;6103596
18/05/2016;5775325
19/05/2016;5589413
20/05/2016;6983687
21/05/2016;1537200
22/05/2016;840216
23/05/2016;6809721
24/05/2016;5603092
25/05/2016;6202634
26/05/2016;1193454
27/05/2016;5683604
28/05/2016;1454603
29/05/2016;888717
30/05/2016;7337345
31/05/2016;6680000
01/06/2016;6865832
02/06/2016;6375278
03/06/2016;6752929
04/06/2016;1864016
05/06/2016;962168
06/06/2016;8637719
07/06/2016;7687759
08/06/2016;6534334
09/06/2016;6048791
10/06/2016;7163422
11/06/2016;1643093
12/06/2016;815516
13/06/2016;7004603
14/06/2016;6415476
15/06/2016;6886485
16/06/2016;5889579
17/06/2016;6026715
18/06/2016;1537654
19/06/2016;849228
20/06/2016;8260657
21/06/2016;6143762
22/06/2016;5759676
23/06/2016;5427205
24/06/2016;5389229
25/06/2016;1437889
